iter	Passed	Remaining
434	1600	2078
435	1602	2072
436	1604	2066
437	1606	2061
438	1610	2057
439	1612	2051
440	1614	2046
441	1616	2040
442	1618	2034
443	1623	2033
444	1625	2027
445	1627	2022
446	1629	2016
447	1631	2010
448	1633	2004
449	1638	2002
450	1640	1996
451	1641	1990
452	1643	1984
453	1645	1978
454	1647	1972
455	1648	1966
456	1652	1963
457	1654	1957
458	1655	1951
459	1657	1945
460	1658	1939
461	1660	1933
462	1661	1927
463	1663	1921
464	1668	1919
465	1669	1913
466	1670	1907
467	1672	1901
468	1674	1895
469	1675	1889
470	1677	1883
471	1678	1877
472	1680	1872
473	1683	1868
474	1684	1862
475	1686	1856
476	1687	1850
477	1689	1844
478	1690	1839
479	1692	1833
480	1693	1827
481	1697	1824
482	1698	1818
483	1700	1812
484	1701	1806
485	1703	1801
486	1704	1795
487	1706	1790
488	1707	1784
489	1709	1779
490	1713	1775
491	1714	1770
492	1716	1764
493	1717	1759
494	1719	1754
495	1721	1748
496	1723	1743
497	1725	1739
498	1726	1733
499	1728	1728
500	1730	1723
501	1732	1718
502	1734	1713
503	1735	1708
504	1737	1703
505	1740	1699
506	1742	1694
507	1743	1688
508	1745	1683
509	1746	1678
510	1748	1672
511	1749	1667
512	1751	1662
513	1752	1657
514	1756	1653
515	1757	1648
516	1759	1643
517	1760	1638
518	1762	1633
519	1763	1628
520	1765	1622
521	1766	1617
522	1768	1613
523	1771	1608
524	1772	1603
525	1774	1598
526	1775	1593
527	1777	1588
528	1778	1583
529	1780	1578
530	1781	1573
531	1784	1569
532	1785	1564
533	1787	1559
534	1788	1554
535	1790	1549
536	1791	1544
537	1793	1539
538	1794	1534
539	1796	1529
540	1799	1526
541	1801	1522
542	1802	1517
543	1804	1512
544	1805	1507
545	1807	1502
546	1808	1497
547	1810	1493
548	1811	1488
549	1815	1485
550	1816	1480
551	1818	1476
552	1820	1471
553	1822	1466
554	1823	1462
555	1825	1457
556	1827	1453
557	1830	1450
558	1832	1445
559	1833	1440
560	1835	1436
561	1836	1431
562	1838	1426
563	1839	1422
564	1841	1417
565	1844	1414
566	1845	1409
567	1847	1404
568	1848	1400
569	1849	1395
570	1851	1391
571	1853	1386
572	1854	1381
573	1856	1377
574	1858	1373
575	1860	1369
576	1861	1364
577	1863	1360
578	1865	1356
579	1867	1351
580	1868	1347
581	1870	1343
582	1873	1339
583	1874	1335
584	1875	1330
585	1877	1326
586	1878	1321
587	1879	1317
588	1881	1312
589	1882	1308
590	1884	1304
591	1886	1299
592	1887	1295
593	1889	1291
594	1890	1286
595	1891	1282
596	1893	1278
597	1895	1274
598	1899	1271
599	1901	1267
600	1902	1263
601	1904	1259
602	1905	1254
603	1907	1250
604	1909	1246
605	1911	1242
606	1914	1239
607	1916	1235
608	1917	1231
609	1918	1226
610	1920	1222
611	1921	1218
612	1923	1214
613	1924	1210
614	1926	1205
615	1929	1203
616	1931	1198
617	1932	1194
618	1934	1190
619	1935	1186
620	1937	1182
621	1938	1178
622	1940	1174
623	1942	1170
624	1945	1167
625	1946	1163
626	1948	1158
627	1949	1154
628	1951	1150
629	1952	1146
630	1955	1143
631	1959	1140
632	1960	1136
633	1962	1132
634	1963	1128
635	1964	1124
636	1966	1120
637	1968	1116
638	1969	1112
639	1971	1108
640	1974	1105
641	1975	1101
642	1977	1097
643	1978	1093
644	1980	1089
645	1981	1085
646	1982	1081
647	1984	1077
648	1985	1073
649	1989	1071
650	1991	1067
651	1992	1063
652	1994	1059
653	1995	1055
654	1996	1051
655	1998	1047
656	1999	1043
657	2001	1040
658	2003	1036
659	2005	1033
660	2007	1029
661	2008	1025
662	2010	1021
663	2012	1018
664	2013	1014
665	2015	1010
666	2018	1007
667	2019	1003
668	2021	1000
669	2023	996
670	2024	992
671	2026	988
672	2027	985
673	2028	981
674	2032	978
675	2033	974
676	2035	971
677	2036	967
678	2038	963
679	2039	959
680	2041	956
681	2042	952
682	2043	948
683	2047	946
684	2049	942
685	2050	938
686	2052	934
687	2053	931
688	2054	927
689	2056	923
690	2057	920
691	2059	916
692	2062	913
693	2064	910
694	2065	906
695	2067	902
696	2068	899
697	2070	895
698	2071	892
699	2072	888
700	2074	884
701	2076	881
702	2077	877
703	2079	874
704	2080	870
705	2081	866
706	2083	863
707	2084	859
708	2085	856
709	2089	853
710	2091	850
711	2093	846
712	2094	843
713	2096	839
714	2098	836
715	2099	832
716	2100	829
717	2104	826
718	2106	823
719	2107	819
720	2108	816
721	2110	812
722	2111	809
723	2113	805
724	2114	802
725	2115	798
726	2119	795
727	2120	792
728	2122	788
729	2123	785
730	2125	782
731	2126	778
732	2127	775
733	2129	771
734	2130	768
735	2134	765
736	2135	762
737	2137	758
738	2138	755
739	2140	751
740	2141	748
741	2142	745
742	2144	741
743	2145	738
744	2149	735
745	2150	732
746	2152	728
747	2153	725
748	2154	722
749	2156	718
750	2157	715
751	2159	712
752	2160	708
753	2164	706
754	2165	702
755	2167	699
756	2168	696
757	2169	692
758	2171	689
759	2173	686
760	2174	682
761	2176	679
762	2179	677
763	2181	673
764	2182	670
765	2184	667
766	2186	664
767	2187	660
768	2189	657
769	2190	654
770	2194	651
771	2195	648
772	2197	645
773	2198	641
774	2199	638
775	2201	635
776	2202	632
777	2204	628
778	2205	625
779	2208	623
780	2210	619
781	2211	616
782	2213	613
783	2214	610
784	2216	606
785	2217	603
786	2218	600
787	2220	597
788	2223	594
789	2225	591
790	2226	588
791	2228	585
792	2229	582
793	2231	578
794	2232	575
795	2233	572
796	2235	569
797	2238	566
798	2240	563
799	2242	560
800	2243	557
801	2244	554
802	2246	551
803	2247	547
804	2248	544
805	2250	541
806	2253	538
807	2255	535
808	2257	533
809	2259	529
810	2260	526
811	2261	523
812	2263	520
813	2264	517
814	2268	514
815	2270	511
816	2271	508
817	2272	505
818	2274	502
819	2275	499
820	2277	496
821	2278	493
822	2280	490
823	2283	487
824	2285	484
825	2287	481
826	2288	478
827	2290	475
828	2291	472
829	2293	469
830	2294	466
831	2297	463
832	2299	460
833	2300	457
834	2302	454
835	2303	451
836	2305	448
837	2306	445
838	2307	442
839	2309	439
840	2312	437
841	2313	434
842	2315	431
843	2316	428
844	2318	425
845	2319	422
846	2320	419
847	2322	416
848	2324	413
849	2326	410
850	2327	407
851	2329	404
852	2330	401
853	2332	398
854	2333	395
855	2334	392
856	2336	389
857	2339	387
858	2341	384
859	2342	381
860	2344	378
861	2345	375
862	2347	372
863	2349	369
864	2350	366
865	2352	363
866	2354	361
867	2356	358
868	2357	355
869	2359	352
870	2360	349
871	2362	346
872	2363	343
873	2365	340
874	2368	338
875	2369	335
876	2371	332
877	2373	329
878	2374	326
879	2376	324
880	2378	321
881	2379	318
882	2383	315
